히라가나,뜻
すごす,"지내다, 보내다"
けいたい,휴대(전화)
かんどう,감동
おもたい,무겁다
ぜんしゃ,전자
そくたつ,속달
ごうかく,합격
きょうつう,공통
のうりょく,능력
しょるい,서류
えいぎょう,영업
くんれん,훈련
うすぐらい,어둑어둑하다
こんなん,곤란
しょうご,정오
かさい,화재
ぜんしん,전신
おもいこむ,"마음먹다, 믿어버리다"
におい,냄새
じんせい,인생
よぼう,예방
あい,사랑
あいて,상대
はんばい,판매
げんざい,현재
うる,팔다
した,혀
かいがい,해외
かん,깡통
かいふく,회복
くさり,"사슬, 체인"
よす,중지하다
すべて,"전부, 모조리"
きかん,기간
からっぽ,텅빔
ぎいん,의원
いねむり,졸음
きょうりょく,협력
ねがう,소망하다
しょくば,직장
ぎょうれつ,행렬
たいき,대기
ひこう,비행
えんそう,연주
のぞみ,소망
はじまり,시작
はく,신다
せいしゅん,청춘
くらす,지내다 (살다)
ぜい,세
そうじ,청소
こぼす,"엎지르다, 흘리다"
ほうこう,방향
ぎむ,의무
じゃぐち,수도꼭지
りこん,이혼
いし,의사
つうじる,통하다
ひがい,피해
ぜんこく,전국
もじ,"글자, 문자"
かかえる,껴안다
しつ,"질, 퀄리티"
こうけい,광경
けわしい,험하다
たいした,대단한
こっか,국가
かさねる,"겹치다, 쌓다"
かみなり,천둥
しょうじきに,솔직히
げき,"극, 연극"
すすめる,"나아가다, 진행하다"
かがやく,반짝이다
うちゅう,우주
はんざい,범죄
ことわる,거절하다
かぶ,주식
くいき,구역
みらい,미래
もえる,타다
しっけ,습기
たいへん,"몹시, 대단히"
いいかげん,적당함
ひも,끈
ごがく,어학
そうぞく,상속
れんぞく,연속
としより,"노인, 늙은이"
たいど,태도
しゅじゅつ,수술
したがう,따르다
きし,"물가, 벼랑"
つもる,쌓이다
わるぐち,욕
のせる,태우다
おしゃれ,"멋쟁이, 멋냄"
げんば,현장
はなしあう,의논하다
ゆか,"바닥, 마루"
ふんいき,분위기
ぜんじつ,"얼마 전, 요전"
さべつ,차별
いとこ,사촌
しゅくはく,숙박
しゅっせき,출석
あくしゅ,악수
りょう,양
よなか,한밤중
せいかく,성격
よこぎる,가로지르다
かしゅ,가수
ねだん,가격
たいよう,태양
つぎつぎ,"차례차례, 잇달아"
けっしん,결심
しょうねん,소년
かくだい,확대
ようい,"용이, 손쉬움"
たすかる,"살아나다, 도움이되다"
だいひょう,대표
おろす,내리다
とい,물음
はんだん,판단
なっとく,납득
がいこう,외교
かんきょう,환경
かた,형 (형태)
ゆうじん,친구
はっぴょう,발표
ちきゅう,지구
もんく,"불평, 불만"
あつまり,모임
かいいん,회원
がくもん,학문
ころ,"때, 무렵, 경"
しばらく,"잠깐만, 당분간"
れいせい,냉정
どく,독
しほん,자본
しんさつ,진찰
おく,"안, 속"
かえる,"바꾸다, 교환하다"
くせ,버릇
しぼう,사망
じょうしき,상식
おんど,온도
かんそう,감상
けんとう,"가늠, 짐작"
ぶんや,분야
なみ,파도
せいせき,성적
おうじる,응하다
ためす,시험하다
くさい,(구린) 냄새가나다
たんじょう,탄생
くるしむ,괴로워하다
ふせぐ,막다
こい,사랑
いどう,이동
はく,"토하다, 뱉다"
じょうげ,상하
しょうしょう,잠시
ほこり,긍지 (프라이드)
あいじょう,애정
しょくぶつ,식물
じょうほう,정보
くすりゆび,약지
ちゅうこ,중고
ろうか,복도
きんし,금지
とうあん,답안
むく,향하다
しゅうり,수리
へる,줄다
ひよう,비용
ずいぶん,"상당히, 꽤"
みとめる,인정하다
かんげい,환영
さいせい,재생
ちゅうおう,중앙
かえる,"바꾸다, 교환하다"
に) (さいわい (に),다행 (히)
くろう,"고생, 노고"
むね,가슴
めいじる,명령하다
かた,어깨
ぶんせき,분석
しゅうにゅう,수입
むちゅう,~에 빠져있음
ちゅうもん,주문
こんざつ,혼잡
そうりょう,(배) 송료
ぶっか,물가
かんぱい,건배
げんかい,한계
しつぼう,실망
ふこう,불행
れいぞうこ,냉장고
くもり,흐림
